"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"1214","EMC","Q","Midday",0.00774480874976006,23.7682065382969,0.00950014626263871,531247,"N"
"1217","EMC","W","Midday",0.0103669472790639,23.7686238245133,0.0100000013998889,20478,"N"
"1220","EMC","X","Midday",0.00999994277954102,23.7804999351501,0.00999994277954102,68000,"N"
"1223","EMC","Y","Midday",0.00975612314735971,23.7639327320626,0.00981708852256217,65993,"N"
"1226","EMC","Z","Midday",0.0078774924989351,23.7670934953019,0.00971331854759179,463271,"N"
"1232","EMR","B","Midday",0.00987881494437152,54.9984212404321,0.010445428763324,33520,"N"
"1234","EMR","C","Midday",0.00687479972839355,55.0417189598083,0.0078122615814209,5000,"N"
"1240","EMR","J","Midday",0.00981451926216621,55.0494272332442,0.0100930984544311,38067,"N"
"1243","EMR","K","Midday",0.00853730080950208,55.0588099633762,0.00886473176781267,62392,"N"
"1246","EMR","N","Midday",0.00896739462147588,55.0599495431651,0.0108349244490914,245241,"N"
"1249","EMR","P","Midday",0.00895682956861413,55.0532607634171,0.0104000854492188,94473,"N"
"1252","EMR","Q","Midday",0.00835683026651698,55.0733267153342,0.0108367214052696,122762,"N"
"1255","EMR","W","Midday",0.0120000839233398,55.0800001144409,0.0120000839233398,2000,"N"
"1258","EMR","X","Midday",0.00899982452392578,54.9894996643066,0.0129995346069336,2400,"N"
"1261","EMR","Y","Midday",0.00995112400428922,55.0546322990866,0.0104903052834903,24642,"N"
"1264","EMR","Z","Midday",0.0087367784354116,55.0448177193958,0.0103525136250047,111129,"N"
"1270","EXC","B","Midday",0.00856494447260952,34.6096410796973,0.00966536599483216,23816,"N"
"1273","EXC","C","Midday",0.00999959309895833,34.5916665395101,0.00999959309895833,1712,"N"
"1279","EXC","J","Midday",0.00938468904637579,34.5948412240441,0.00970177863960836,59493,"N"
"1282","EXC","K","Midday",0.00846897406478911,34.5860020181407,0.00882811807729797,80730,"N"
"1285","EXC","N","Midday",0.00897744094269185,34.5947974434382,0.00941785981383505,249324,"N"
"1288","EXC","P","Midday",0.00819401933967723,34.584675028145,0.00965328437055466,112038,"N"
"1291","EXC","Q","Midday",0.00729027535151509,34.5898180007935,0.0104208270322929,166695,"N"
"1294","EXC","W","Midday",0.0100000674907978,34.5984231361976,0.0100000674907978,30500,"N"
"1297","EXC","X","Midday",0.00900096893310547,34.5765001296997,0.00900096893310547,2100,"N"
"1300","EXC","Y","Midday",0.00910780498674848,34.5986744738001,0.00965890358752153,43507,"N"
"1303","EXC","Z","Midday",0.00841866318060427,34.5936786612686,0.00985716994927854,135167,"N"
"1309","F","B","Midday",0.00820258835273606,13.0791171587482,0.00985566788981005,517012,"N"
"1312","F","C","Midday",0.00909103046764027,13.0912499861284,0.00886375253850764,13700,"N"
"1318","F","J","Midday",0.00896993799561083,13.0931340390541,0.00945807306365557,888468,"N"
"1321","F","K","Midday",0.00711404675185078,13.0935335654717,0.00847400008858024,1123818,"N"
"1324","F","N","Midday",0.00826796352273167,13.0949683784258,0.00879202864744482,1718424,"N"
"1327","F","P","Midday",0.00644785980647865,13.0917761387246,0.00924140321206277,1241397,"N"
"1330","F","Q","Midday",0.00593317932757325,13.0953732396031,0.00867949526282351,1705098,"N"
"1333","F","W","Midday",0.00985292827381807,13.0907353513381,0.00985292827381807,11985,"N"
